Date,Crude_Oil_Price,Oil_Consumption,Oil_Production,Nat_Gas_Price,Nat_Gas_Production,Nat_Gas_Consumption,Active_Rig_Count,Available_Rig_Count
Jan-82,92.3,,,6.07,,,1472,
Feb-82,85.77,,,6.24,,,1474,
Mar-82,77.44,,,6.39,,,1479,
Apr-82,90.64,,,6.49,,,1472,
May-82,96.22,,,6.57,,,1497,
Jun-82,92.91,,,6.49,,,1486,
Jul-82,90.06,,,6.5,,,1485,
Aug-82,89.35,,,6.65,,,1471,
Sep-82,93.37,,,6.71,,,1462,
Oct-82,93.34,,,6.8,,,1482,
Nov-82,89.6,,,6.86,,,1488,
Dec-82,83.39,,,6.89,,,1459,
Jan-83,81.91,,,6.98,,,1425,
Feb-83,76.06,,,6.98,,,1390,
Mar-83,75.53,,,6.77,,,1332,
Apr-83,79.68,,,6.59,,,1289,
May-83,77.65,,,6.55,,,1283,
Jun-83,80,,,6.68,,,1297,
Jul-83,81.47,,,6.48,,,1291,
Aug-83,81.74,,,6.61,,,1266,
Sep-83,79.3,,,6.81,,,1248,
Oct-83,77.28,,,6.56,,,1222,
Nov-83,75.61,,,6.6,,,1207,
Dec-83,74.01,,,6.62,,,1203,
Jan-84,74.84,,,6.73,,,1193,
Feb-84,75.47,,,6.8,,,1227,
Mar-84,77.08,,,6.68,,,1213,
Apr-84,76.21,,,6.57,,,1210,
May-84,75.74,,,6.63,,,1237,
Jun-84,74.28,,,6.69,,,1219,
Jul-84,71.03,,,6.61,,,1224,
Aug-84,71.99,,,6.61,,,1251,
Sep-84,71.65,,,6.41,,,1263,
Oct-84,70.22,,,6.41,,,1266,
Nov-84,68.52,,,6.36,,,1266,
Dec-84,61.93,,,6.27,,,1285,
Jan-85,62.3,,,6.43,,,1283,
Feb-85,66.13,,,6.56,,,1270,
Mar-85,68.05,,,6.32,,,1275,
Apr-85,69.17,,,6.34,,,1271,
May-85,66.04,,,6.05,,,1294,
Jun-85,64.67,,,6.16,,,1309,
Jul-85,65.02,,,5.98,,,1302,
Aug-85,66.09,,,5.87,,,1289,
Sep-85,67.09,,,5.74,,,1293,
Oct-85,69.68,,,5.6,,,1294,
Nov-85,72.55,,,5.56,,,1303,
Dec-85,63.9,,,5.36,,,1288,
Jan-86,53.65,,,5.34,,,1260,
Feb-86,36.18,,,5.31,,,1237,
Mar-86,29.73,,,5.1,,,1207,
Apr-86,30.26,,,4.96,,,1180,
May-86,36.31,,,4.62,,,1121,
Jun-86,31.66,,,4.34,,,1091,
Jul-86,27.2,,,4.22,,,1019,
Aug-86,35.34,,,4.14,,,994,
Sep-86,34.72,,,4.15,,,972,
Oct-86,34.68,,,4.03,,,983,
Nov-86,35.35,,,4.12,,,952,
Dec-86,37.41,,,4.09,,,940,
Jan-87,43.18,,,4.02,,,950,
Feb-87,40.72,,,3.98,,,957,
Mar-87,41.92,,,3.96,,,949,
Apr-87,42.38,,,3.85,,,968,
May-87,44.04,,,3.75,,,961,
Jun-87,45.24,,,3.73,,,969,
Jul-87,48.28,,,3.75,,,965,
Aug-87,45.56,,,3.66,,,981,
Sep-87,43.54,,,3.48,,,987,
Oct-87,44.09,,,3.5,,,998,
Nov-87,42.05,,,3.65,,,1034,
Dec-87,38.27,,,3.78,,,1051,
Jan-88,38.17,,,4.35,,,1017,
Feb-88,37.19,,,4.07,,,1025,
Mar-88,35.7,,,3.75,,,1037,
Apr-88,39.25,,,3.49,,,1033,
May-88,38.02,,,3.32,,,1025,
Jun-88,35.9,,,3.33,,,1027,
Jul-88,33.58,,,3.38,,,1032,
Aug-88,33.44,,,3.5,,,1029,
Sep-88,31.08,,,3.28,,,1034,
Oct-88,29.48,,,3.59,,,1029,
Nov-88,29.88,,,3.76,,,1013,
Dec-88,34.73,,,4.03,,,952,
Jan-89,38.16,,,4.22,,,991,
Feb-89,37.58,,,3.82,,,982,
Mar-89,40.73,,,3.55,,,933,
Apr-89,43.8,,,3.25,,,927,
May-89,41.48,,,3.34,,,918,
Jun-89,41.38,,,3.41,,,886,
Jul-89,40.45,,,3.41,,,892,
Aug-89,38.12,,,3.32,,,877,
Sep-89,40.26,,,3.18,,,891,
Oct-89,37.66,,,3.27,,,900,
Nov-89,37.46,,,3.87,,,904,
Dec-89,39.4,,,4.56,,,900,
Jan-90,41.01,,,4.82,,,935,
Feb-90,39.32,,,3.81,,,929,
Mar-90,36.35,,,3.09,,,930,
Apr-90,32.97,,,2.97,,,933,
May-90,32.95,,,2.92,,,937,
Jun-90,30.18,,,2.91,,,947,
Jul-90,33.81,,,2.78,,,901,
Aug-90,51.51,,,2.65,,,886,
Sep-90,63.27,,,2.79,,,862,
Oct-90,66.35,,,3.25,,,873,
Nov-90,59.64,,,4.03,,,909,
Dec-90,50.14,,,4.05,,,904,
Jan-91,43.07,,,3.19,,,0,
Feb-91,34.53,,,2.59,,,0,
Mar-91,34.37,,,2.55,,,0,
Apr-91,35.08,,,2.53,,,0,
May-91,35.64,,,2.48,,,0,
Jun-91,33.85,,,2.27,,,0,
Jul-91,35.91,,,2.24,,,0,
Aug-91,36.41,,,2.46,,,0,
Sep-91,37.52,,,3.05,,,0,
Oct-91,40.12,,,3.31,,,0,
Nov-91,38.7,,,3.37,,,0,
Dec-91,33.05,,,3.57,,,0,
Jan-92,32.31,,,2.38,,,0,
Feb-92,32.64,,,2.24,,,0,
Mar-92,32.16,,,2.36,,,0,
Apr-92,34.29,,,2.71,,,0,
May-92,35.84,,,2.92,,,0,
Jun-92,38.15,,,2.86,,,0,
Jul-92,36.86,,,3.2,,,0,
Aug-92,35.75,,,3.59,,,0,
Sep-92,36.61,,,4.23,,,0,
Oct-92,36.36,,,4.38,,,0,
Nov-92,34.14,,,4.05,,,0,
Dec-92,32.44,,,3.91,,,0,
Jan-93,31.01,,,3.39,,,0,
Feb-93,32.6,,,3.03,,,0,
Mar-93,33.02,,,3.9,,,0,
Apr-93,32.86,,,4.19,,,0,
May-93,32.35,,,3.86,,,0,
Jun-93,31.06,,,3.5,,,0,
Jul-93,29.02,,,3.66,,,0,
Aug-93,29.22,,,4.01,,,0,
Sep-93,28.14,,,4.02,,,0,
Oct-93,29.11,,,3.56,,,0,
Nov-93,26.77,,,3.98,,,0,
Dec-93,24.25,,,4.12,,,0,
Jan-94,24.82,,,4.11,,,0,
Feb-94,24.12,,,4.74,,,0,
Mar-94,23.76,,,3.85,,,0,
Apr-94,26.27,,,3.55,,,0,
May-94,28.34,,,3.34,,,0,
Jun-94,29.79,,,3.3,,,0,
Jul-94,30.94,,,3.39,,,0,
Aug-94,29.29,,,2.86,,,0,
Sep-94,27.84,,,2.56,,,0,
Oct-94,28.29,,,2.59,,,0,
Nov-94,29.29,,,2.71,,,0,
Dec-94,27.34,,,2.95,,,0,
Jan-95,28.87,,,2.58,,,0,
Feb-95,29.64,,,2.69,,,0,
Mar-95,29.42,,,2.61,,,0,
Apr-95,31.52,,,2.74,,,0,
May-95,31.07,,,2.77,,,0,
Jun-95,29.23,,,2.73,,,0,
Jul-95,27.07,,,2.42,,,0,
Aug-95,27.66,,,2.62,,,0,
Sep-95,28.19,,,2.75,,,0,
Oct-95,26.93,,,2.96,,,0,
Nov-95,27.98,,,3.41,,,0,
Dec-95,29.89,,,4.53,,,0,
Jan-96,29.6,,,4.87,,,0,
Feb-96,29.34,,,7.29,,,0,
Mar-96,31.99,,,4.86,,,0,
Apr-96,33.94,,,3.66,,,0,
May-96,31.25,,,3.67,,,0,
Jun-96,30.33,,,4.08,,,0,
Jul-96,32.04,,,4.06,,,0,
Aug-96,33.36,,,3.31,,,0,
Sep-96,36.22,,,2.99,,,0,
Oct-96,38.29,,,3.84,,,0,
Nov-96,36.25,,,4.91,,,0,
Dec-96,38.24,,,6.18,,,0,
Jan-97,37.49,,,5.34,,,0,
Feb-97,32.85,,,3.57,,,0,
Mar-97,31.02,,,3.03,,,0,
Apr-97,28.66,,,3.25,,,0,
May-97,31.06,,,3.59,,,0,
Jun-97,28.7,,,3.52,,,0,
Jul-97,29.32,,,3.5,,,0,
Aug-97,29.86,,,3.94,,,0,
Sep-97,29.72,,,4.52,,,0,
Oct-97,31.84,,,4.83,,,0,
Nov-97,30.35,,,4.8,,,0,
Dec-97,27.2,,,3.71,,,0,
Jan-98,23.83,,,3.34,,,0,
Feb-98,22.36,,,3.52,,,0,
Mar-98,20.77,,,3.53,,,0,
Apr-98,21.33,,,3.82,,,0,
May-98,22.13,,,3.38,,,0,
Jun-98,19.66,,,3.42,,,0,
Jul-98,19.98,,,3.41,,,0,
Aug-98,19.63,,,2.91,,,0,
Sep-98,21.66,,,3.15,,,0,
Oct-98,20.76,,,2.96,,,0,
Nov-98,18.6,,,3.29,,,0,
Dec-98,16.31,,,2.73,,,0,
Jan-99,17.88,,,2.91,,,0,
Feb-99,16.78,,,2.76,,,0,
Mar-99,20.49,,,2.79,,,0,
Apr-99,24.52,,,3.32,,,0,
May-99,24.81,,,3.48,,,0,
Jun-99,25.32,,,3.55,,,0,
Jul-99,29.25,,,3.56,,,0,
Aug-99,31.15,,,4.29,,,0,
Sep-99,34.71,,,3.88,,,0,
Oct-99,33.51,,,4.15,,,565,
Nov-99,36.86,,,3.6,,,0,
Dec-99,38.29,,,3.6,,,0,
Jan-00,38.5,,,3.68,,,0,
Feb-00,41.16,,,4.01,,,0,
Mar-00,41.23,,,4.18,,,0,
Apr-00,35.18,,,4.54,,,0,
May-00,40.71,,,5.36,,,0,
Jun-00,44.11,,,6.37,,,0,
Jul-00,41.87,,,5.88,,,662,
Aug-00,43.48,,,6.55,,,705,
Sep-00,47.42,,,7.48,,,714,
Oct-00,46.33,,,7.41,,,727,
Nov-00,47.68,,,8.19,,,700,
Dec-00,37.19,,,13.21,,,705,
1-Jan,38.07,,,11.98,,,0,
1-Feb,39.78,,,8.22,,,0,
1-Mar,36.46,,,7.52,,,0,
1-Apr,37.33,,,7.5,,,0,
1-May,39.81,,,6.08,,,0,
1-Jun,38.9,,,5.35,,,0,
1-Jul,35.87,,,4.48,,,0,
1-Aug,37.35,,,4.27,,,0,
1-Sep,36.3,,,3.1,,,0,
1-Oct,29.95,,,3.54,,,0,
1-Nov,27.05,,,3.42,,,0,
1-Dec,26.91,,,3.5,,,0,
2-Jan,27.76,,,3.26,,,0,
2-Feb,28.85,,,3.34,,,0,
2-Mar,33.95,,,4.35,,,0,
2-Apr,36.31,,,4.88,,,0,
2-May,36.66,,,4.98,,,0,
2-Jun,34.95,,,4.6,,,0,
2-Jul,36.71,,,4.25,,,0,
2-Aug,38.05,,,4.39,,,0,
2-Sep,40.12,,,5.06,,,0,
2-Oct,38.99,,,5.83,,,0,
2-Nov,34.75,,,5.72,,,0,
2-Dec,39.59,,,6.73,,,0,
3-Jan,43.45,,,7.64,,,0,
3-Feb,46.11,,,10.9,,,0,
3-Mar,42.32,,,8.29,,,0,
3-Apr,35.71,,,7.39,,,0,
3-May,36.46,,,8.17,,,0,
3-Jun,39.02,,,8.06,,,0,
3-Jul,39.92,,,6.99,,,0,
3-Aug,41.28,,,6.91,,,0,
3-Sep,37.27,,,6.39,,,0,
3-Oct,40.26,,,6.44,,,0,
3-Nov,40.52,,,6.3,,,0,
3-Dec,41.75,,,8.54,,,0,
4-Jan,43.49,,,8.44,,,0,
4-Feb,43.2,,,7.42,,,0,
4-Mar,46.13,,,7.4,,,0,
4-Apr,46.04,,,7.81,,,0,
4-May,51,,,8.61,,,0,
4-Jun,48.1,,,8.49,,,0,
4-Jul,51.37,,,8.04,,,0,
4-Aug,57.02,,,7.32,,,0,
4-Sep,56.25,,,6.95,,,0,
4-Oct,63.05,,,8.62,,,0,
4-Nov,56.63,,,8.19,,,0,
4-Dec,52.67,,,8.88,,,0,
5-Jan,57.85,,,8.28,,,0,
5-Feb,60,,,8.22,,,0,
5-Mar,67.66,,,9.26,,,0,
5-Apr,66.82,,,9.43,,,0,
5-May,63.17,,,8.55,,,0,
5-Jun,71.14,,,9.49,,,0,
5-Jul,74.07,,,10.03,,,0,
5-Aug,80.91,,,12.59,,,0,
5-Sep,79.68,,,16.64,,,0,
5-Oct,75,,,17.43,,,0,
5-Nov,71.52,,,13.55,,,0,
5-Dec,73.62,,,16.74,,,0,
6-Jan,80.87,,,11.21,,,0,
6-Feb,77.14,,,9.68,,,0,
6-Mar,78.3,,,8.87,,,0,
6-Apr,86.61,,,9.03,,,0,
6-May,87.08,,,7.86,,,0,
6-Jun,86.42,,,7.83,,,0,
6-Jul,91.41,,,7.89,,,921,
6-Aug,90.43,,,8.81,,,954,
6-Sep,78.61,,,6.15,,,949,
6-Oct,73.68,,,7.58,,,965,
6-Nov,74.08,,,9.49,,,939,
6-Dec,77.6,,,8.37,,,0,
7-Jan,67.89,,,8.35,,,0,
7-Feb,72.62,,,10.06,,,0,
7-Mar,75.77,,,8.9,,,0,
7-Apr,80.82,,,9.43,,,0,
7-May,80.45,,,9.4,,,0,
7-Jun,84.03,,,9,,,0,
7-Jul,90.72,,,7.67,,,1018,
7-Aug,86.6,,,7.66,,,1009,
7-Sep,94.53,,,7.51,,,1032,
7-Oct,100.73,,,8.36,,,0,
7-Nov,111.58,,,8.72,,,0,
7-Dec,109.43,,,8.74,,,0,
8-Jan,110.32,,,9.73,,,0,
8-Feb,113.27,,,10.37,,,0,
8-Mar,122.46,,,11.3,,,0,
8-Apr,129.99,,,12.11,,,0,
8-May,145.34,,,13.31,,,0,
8-Jun,154.33,,,14.88,,,0,
8-Jul,155.05,,,13.02,,,0,
8-Aug,134.27,,,9.67,,,0,
8-Sep,116.96,,,9.02,,,0,
8-Oct,86.18,,,7.98,,,0,
8-Nov,65.23,,,8.06,,,0,
8-Dec,50.49,,,7.07,,,0,
9-Jan,53.34,,,6.37,,,0,
9-Feb,50.63,,,5.47,,,1020,
9-Mar,56.31,,,4.77,,,0,
9-Apr,60.54,,,4.21,,,0,
9-May,69.82,,,4.57,,,0,
9-Jun,82.32,,,4.52,,,0,
9-Jul,77.1,,,4.04,,,0,
9-Aug,85.21,,,3.75,,,0,
9-Sep,81.26,,,3.52,,,0,
9-Oct,87.99,,,4.77,,,0,
9-Nov,92.04,,,4.38,,,0,
9-Dec,89.03,,,6.38,,,0,
10-Jan,91.38,,,6.88,,,0,
10-Feb,88.56,,,6.33,,,0,
10-Mar,93.56,,,5.06,,,0,
10-Apr,99.14,,,4.72,,,0,
10-May,88.99,,,4.9,,,0,
10-Jun,88.03,,,5.64,,,0,
10-Jul,87.84,,,5.45,,,0,
10-Aug,89.18,,,5.07,,,0,
10-Sep,89.47,,,4.58,,,0,
10-Oct,95.94,,,4.03,,,0,
10-Nov,99.19,,,4.38,,,0,
10-Dec,105.44,,,4.97,,,0,
11-Jan,108.07,,,5.23,,,0,
11-Feb,113.59,,,4.72,,,0,
11-Mar,124.84,,,4.56,,,0,
11-Apr,132.7,,,4.84,,,0,
11-May,122.8,,,4.9,,,0,
11-Jun,120.4,,,5.18,,,0,
11-Jul,122.65,,,5.01,,,0,
11-Aug,113.89,,,4.59,,,0,
11-Sep,114.09,,,4.41,,,0,
11-Oct,113.23,,,4.05,,,0,
11-Nov,119.63,,,3.68,,,0,
11-Dec,118.59,,,3.6,,,0,
12-Jan,121.29,,,3.04,,,0,
12-Feb,127.09,,,2.84,,,0,
12-Mar,131.84,,,2.43,,,0,
12-Apr,126.85,,,2.18,,,0,
12-May,116.29,,,2.73,,,0,
12-Jun,101.52,,,2.75,,,0,
12-Jul,108.43,,,3.31,,,0,
12-Aug,117.32,,,3.17,,,0,
12-Sep,117.92,,,3.15,,,0,
12-Oct,114.78,,,3.69,,,0,
12-Nov,112.83,,,3.95,,,0,
12-Dec,113.16,,,3.74,,,0,
13-Jan,117.19,,,3.71,,,0,
13-Feb,119.04,,,3.68,,,0,
13-Mar,113.08,,,4.2,,,0,
13-Apr,109.15,,,4.6,,,0,
13-May,109.53,,,4.45,,,0,
13-Jun,109.67,,,4.21,,,0,
13-Jul,115.7,,,3.98,,,0,
13-Aug,118.74,,,3.77,,,0,
13-Sep,119.26,,,3.97,,,0,
13-Oct,115.91,,,4.03,,,0,
13-Nov,113.06,,,3.99,,,0,
13-Dec,116.21,,,4.67,,,0,
14-Jan,112.07,,,5.16,,,0,
14-Feb,114.64,,,6.53,,,0,
14-Mar,113.05,,,5.3,,,0,
14-Apr,113.58,,,5.01,,,0,
14-May,114.09,,,4.92,,,0,
14-Jun,116.74,,,4.92,,,0,
14-Jul,113.41,,,4.32,,,0,
14-Aug,108,,,4.19,,,0,
14-Sep,103.39,,,4.23,,,0,
14-Oct,93.09,,,4.08,,,0,
14-Nov,83.71,,,4.46,,,0,
14-Dec,66.37,,,3.75,,,0,
15-Jan,51.76,,,3.26,,,1258,
15-Feb,59.93,,,3.12,,,1275,
15-Mar,57.45,,,3.04,,,1251,
15-Apr,62.44,,,2.8,,,1202,
15-May,67.49,,,3.07,,,1158,
15-Jun,65.97,,,2.98,,,1146,
15-Jul,58.46,,,3.04,,,1118,
15-Aug,49.23,,,2.97,,,1137,
15-Sep,49.94,,,2.86,,,1140,
15-Oct,50.7,,,2.5,,,1111,
15-Nov,46.64,,,2.25,,,1109,
15-Dec,39.7,,,2.08,,,1095,
16-Jan,32.27,,,2.46,,,1045,
16-Feb,33.6,,,2.12,,,1018,
16-Mar,40.26,,,1.83,,,985,
16-Apr,43.73,,,2.04,,,946,
16-May,49.1,,,2.05,,,955,
16-Jun,50.8,,,2.74,,,927,
16-Jul,47.09,,,2.98,,,938,
16-Aug,47.84,,,2.97,,,937,
16-Sep,47.9,,,3.16,,,934,
16-Oct,52.35,,,3.13,,,920,
16-Nov,48.15,,,2.66,,,925,
16-Dec,55.96,,,3.81,,,929,
17-Jan,56.66,,,3.45,,,933,
17-Feb,57.29,,,2.97,,,941,
17-Mar,53.61,,,3.02,,,943,
17-Apr,54.77,,,3.23,,,956,
17-May,52.34,,,3.27,,,957,
17-Jun,48.39,,,3.08,,,960,
17-Jul,49.99,,,3.1,,,959,
17-Aug,52.23,,,3.01,,,952,
17-Sep,55.08,,,3.08,,,931,
17-Oct,57.17,,,2.99,,,951,
17-Nov,62.38,,,3.11,,,942,
17-Dec,63.73,,,2.87,,,954,
18-Jan,68.61,,,4.02,,,960,
18-Feb,65.44,,,2.75,,,979,
18-Mar,66.02,,,2.77,,,972,
18-Apr,70.5,,,2.83,,,978,
18-May,74.94,,,2.84,,,967,
18-Jun,73.34,,,3,,,959,
18-Jul,74.04,,,2.85,,,997,
18-Aug,72.38,,,3.01,,,1008,
18-Sep,76.65,,,3.05,,,1004,
18-Oct,77.91,,,3.34,,,1017,
18-Nov,63.49,,,4.22,,,991,
18-Dec,55.15,,,4.04,,,1025,
19-Jan,57.71,,,3.14,,,1024,
19-Feb,62.09,,,2.76,,,1027,
19-Mar,64.43,,,2.97,,,1039,
19-Apr,68.9,,,2.66,,,1062,
19-May,67,,,2.64,,,1126,
19-Jun,59.9,,,2.41,,,1138,
19-Jul,61.53,,,2.36,,,1162,
19-Aug,57.72,,,2.22,,,1138,
19-Sep,60.04,,,2.58,,,1131,
19-Oct,,,,,,,1130,