Year,Country or Area,Year,Unit,Value,Value Footnotes
2013,Lithuania,2013,Thousand units,0,
2012,Lithuania,2012,Mil. USD,0,
2012,Lithuania,2012,Thousand units,0,
2011,Lithuania,2011,Mil. USD,0,
2011,Lithuania,2011,Thousand units,0,
2010,Lithuania,2010,Mil. USD,0,
2010,Lithuania,2010,Thousand units,0,
2009,Lithuania,2009,Mil. USD,0,
2009,Lithuania,2009,Thousand units,0,
2008,Lithuania,2008,Mil. USD,0,
2008,Lithuania,2008,Thousand units,0,
2007,Lithuania,2007,Mil. USD,0,
2007,Lithuania,2007,Thousand units,0,
2006,Lithuania,2006,Mil. USD,0,
2006,Lithuania,2006,Thousand units,0,
2005,Lithuania,2005,Mil. USD,0,
2005,Lithuania,2005,Thousand units,0,
2004,Lithuania,2004,Mil. USD,0,
2004,Lithuania,2004,Thousand units,0,
2003,Lithuania,2003,Mil. USD,0,
2003,Lithuania,2003,Thousand units,0,
2002,Lithuania,2002,Mil. USD,0,
2002,Lithuania,2002,Thousand units,0,
2001,Lithuania,2001,Mil. USD,0,
2001,Lithuania,2001,Thousand units,0,
2000,Lithuania,2000,Mil. USD,0,
2000,Lithuania,2000,Thousand units,0,
1999,Lithuania,1999,Mil. USD,0,
1999,Lithuania,1999,Thousand units,0,
1998,Lithuania,1998,Mil. USD,0,
1998,Lithuania,1998,Thousand units,0,
1997,Lithuania,1997,Mil. USD,0,
1997,Lithuania,1997,Thousand units,0,
2016,Luxembourg,2016,Mil. USD,0,3
2016,Luxembourg,2016,Thousand units,0,3
2016,Malaysia,2016,Thousand units,503.771,
2015,Malaysia,2015,Thousand units,568.018,
2014,Malaysia,2014,Thousand units,547.824,
2013,Malaysia,2013,Thousand units,534.992,
2012,Malaysia,2012,Thousand units,480.317,
2011,Malaysia,2011,Thousand units,455.621,
2010,Malaysia,2010,Thousand units,474.7,
2009,Malaysia,2009,Thousand units,409.368,
2008,Malaysia,2008,Thousand units,419.607,
2007,Malaysia,2007,Thousand units,333.688,
2006,Malaysia,2006,Thousand units,365.595,
2005,Malaysia,2005,Thousand units,422.982,
2004,Malaysia,2004,Thousand units,385.113,
2003,Malaysia,2003,Thousand units,348.05,
2002,Malaysia,2002,Thousand units,418.798,
2001,Malaysia,2001,Thousand units,383.636,
2000,Malaysia,2000,Thousand units,300.758,
1999,Malaysia,1999,Thousand units,258.111,
1998,Malaysia,1998,Thousand units,149.2,
1997,Malaysia,1997,Thousand units,362.133,
2016,Malta,2016,Mil. USD,0,3
2016,Malta,2016,Thousand units,0,3
2016,Mexico,2016,Mil. USD,29288.36753,
2016,Mexico,2016,Thousand units,2281.955,
2015,Mexico,2015,Mil. USD,29469.89155,
2015,Mexico,2015,Thousand units,2117.278,
2014,Mexico,2014,Mil. USD,30175.34014,
2014,Mexico,2014,Thousand units,2046.274,
2013,Mexico,2013,Mil. USD,30784.89324,
2013,Mexico,2013,Thousand units,1986.262,
2012,Mexico,2012,Mil. USD,28194.60672,
2012,Mexico,2012,Thousand units,1963.435,
2011,Mexico,2011,Mil. USD,25188.3059,
2011,Mexico,2011,Thousand units,1774.242,
2010,Mexico,2010,Mil. USD,20276.6248,
2010,Mexico,2010,Thousand units,1464.556,
2009,Mexico,2009,Mil. USD,13722.07371,
2009,Mexico,2009,Thousand units,1033.372,
2008,Mexico,2008,Mil. USD,18602.96234,
2008,Mexico,2008,Thousand units,1388.669,
2007,Mexico,2007,Mil. USD,16808.15139,
2007,Mexico,2007,Thousand units,1268.096,
2006,Mexico,2006,Mil. USD,19229.3837,
2006,Mexico,2006,Thousand units,1385.233,
2005,Mexico,2005,Mil. USD,14467.33963,
2005,Mexico,2005,Thousand units,1076.016,
2004,Mexico,2004,Mil. USD,11998.33421,
2004,Mexico,2004,Thousand units,971.638,
2003,Mexico,2003,Mil. USD,12631.00917,
2003,Mexico,2003,Thousand units,995.81,
2002,Mexico,2002,Mil. USD,15929.01447,
2002,Mexico,2002,Thousand units,1217.563,
2001,Mexico,2001,Mil. USD,17125.27819,
2001,Mexico,2001,Thousand units,1271.749,
2000,Mexico,2000,Mil. USD,16326.58745,
2000,Mexico,2000,Thousand units,1294.302,
1999,Mexico,1999,Mil. USD,12059.67639,
1999,Mexico,1999,Thousand units,996.492,
1998,Mexico,1998,Mil. USD,10392.42186,
1998,Mexico,1998,Thousand units,947.415,
1997,Mexico,1997,Mil. USD,9730.33898,
1997,Mexico,1997,Thousand units,857.764,
1996,Mexico,1996,Mil. USD,8570.187786,
1996,Mexico,1996,Thousand units,802.067,
1995,Mexico,1995,Mil. USD,7370.551101,
1995,Mexico,1995,Thousand units,704.595,
2016,Montenegro,2016,Mil. USD,0,3
2016,Montenegro,2016,Thousand units,0,3
2010,Morocco,2010,Thousand units,42.624,5
2009,Morocco,2009,Thousand units,46.867,5
2008,Morocco,2008,Thousand units,40.244,5
2007,Morocco,2007,Thousand units,37.22,5
2006,Morocco,2006,Thousand units,29.881,5
2005,Morocco,2005,Thousand units,18.688,5
2004,Morocco,2004,Thousand units,15.02,5
2016,Netherlands,2016,Mil. USD,2848.422501,
2016,Netherlands,2016,Thousand units,110.565,
2015,Netherlands,2015,Mil. USD,1504.147418,
2015,Netherlands,2015,Thousand units,69.457,
2014,Netherlands,2014,Mil. USD,518.591031,
2014,Netherlands,2014,Thousand units,32.873,
2005,Nigeria,2005,Mil. USD,11.74068808,
2005,Nigeria,2005,Thousand units,2.183,
2004,Nigeria,2004,Mil. USD,11.60088729,
2004,Nigeria,2004,Thousand units,2.18,
2003,Nigeria,2003,Mil. USD,11.94856772,
2003,Nigeria,2003,Thousand units,2.146,
2002,Nigeria,2002,Mil. USD,12.75615768,
2002,Nigeria,2002,Thousand units,2.224,
2001,Nigeria,2001,Mil. USD,13.86949261,
2001,Nigeria,2001,Thousand units,2.169,
2000,Nigeria,2000,Mil. USD,15.25341864,
1999,Nigeria,1999,Mil. USD,16.46545684,
1998,Nigeria,1998,Mil. USD,19.21936728,
1997,Nigeria,1997,Mil. USD,17.86044718,
1996,Nigeria,1996,Mil. USD,16.07575491,
2016,Norway,2016,Mil. USD,0,3
2016,Norway,2016,Thousand units,0,3
2003,Norway,2003,Thousand units,0,
2015,Pakistan,2015,Thousand units,28.189,2
2014,Pakistan,2014,Thousand units,17.477,2
2013,Pakistan,2013,Thousand units,14.517,2
2012,Pakistan,2012,Thousand units,20.929,2
2011,Pakistan,2011,Thousand units,19.142,2
2010,Pakistan,2010,Thousand units,15.568,2
2009,Pakistan,2009,Thousand units,16.158,2
2008,Pakistan,2008,Thousand units,21.354,2
2007,Pakistan,2007,Thousand units,19.672,2
2006,Pakistan,2006,Thousand units,29.581,2
2016,Poland,2016,Mil. USD,6460.360068,
2016,Poland,2016,Thousand units,554.002,
2015,Poland,2015,Mil. USD,5700.331609,
2015,Poland,2015,Thousand units,535.095,
2014,Poland,2014,Mil. USD,5693.441994,
2014,Poland,2014,Thousand units,473.081,
2006,Poland,2006,Mil. USD,6403.476028,
2006,Poland,2006,Thousand units,630.625,
2005,Poland,2005,Mil. USD,5297.631987,
2005,Poland,2005,Thousand units,540.474,
2004,Poland,2004,Mil. USD,4219.276082,
2004,Poland,2004,Thousand units,522.253,
2003,Poland,2003,Mil. USD,2146.782975,
2003,Poland,2003,Thousand units,333.289,
2002,Poland,2002,Mil. USD,1510.330798,
2002,Poland,2002,Thousand units,291.678,
2001,Poland,2001,Mil. USD,1805.955202,
2001,Poland,2001,Thousand units,365.05,
2000,Poland,2000,Mil. USD,2608.422542,
2000,Poland,2000,Thousand units,533.609,
2016,Portugal,2016,Mil. USD,1765.929987,
2016,Portugal,2016,Thousand units,99.739,
2015,Portugal,2015,Mil. USD,2060.675807,
2015,Portugal,2015,Thousand units,115.301,
2014,Portugal,2014,Mil. USD,2473.454096,
2014,Portugal,2014,Thousand units,118.117,
2013,Portugal,2013,Mil. USD,2301.631896,
2013,Portugal,2013,Thousand units,109.629,
2012,Portugal,2012,Mil. USD,2918.960183,
2012,Portugal,2012,Thousand units,156.396,
2011,Portugal,2011,Mil. USD,3632.69165,
2011,Portugal,2011,Thousand units,182.698,
2010,Portugal,2010,Mil. USD,2590.407154,
2010,Portugal,2010,Thousand units,148.568,
2009,Portugal,2009,Mil. USD,2136.509734,
2009,Portugal,2009,Thousand units,120.558,
2008,Portugal,2008,Mil. USD,3136.517468,
2008,Portugal,2008,Thousand units,166.388,
2007,Portugal,2007,Mil. USD,3110.307723,
2007,Portugal,2007,Thousand units,168.417,
2006,Portugal,2006,Mil. USD,2519.213109,
2006,Portugal,2006,Thousand units,148.228,
2005,Portugal,2005,Mil. USD,2164.929211,
2005,Portugal,2005,Thousand units,141.97,
2004,Portugal,2004,Mil. USD,2418.779063,
2004,Portugal,2004,Thousand units,157.248,
2003,Portugal,2003,Mil. USD,2371.445748,
2003,Portugal,2003,Thousand units,168.15,
2002,Portugal,2002,Mil. USD,2312.245521,
2002,Portugal,2002,Thousand units,189.738,
2001,Portugal,2001,Mil. USD,2466.446634,
2001,Portugal,2001,Thousand units,195.255,
2000,Portugal,2000,Mil. USD,2367.515181,
2000,Portugal,2000,Thousand units,187.282,
1999,Portugal,1999,Mil. USD,2603.604023,
1999,Portugal,1999,Thousand units,184.024,
1998,Portugal,1998,Mil. USD,2683.41004,
1998,Portugal,1998,Thousand units,189.124,
1997,Portugal,1997,Mil. USD,2719.703535,
1997,Portugal,1997,Thousand units,189.714,
1996,Portugal,1996,Mil. USD,2756.044087,
1996,Portugal,1996,Thousand units,163.992,
1995,Portugal,1995,Mil. USD,1279.196122,
1995,Portugal,1995,Thousand units,77.868,
2006,Republic of Korea,2006,Thousand units,3488.788,
2005,Republic of Korea,2005,Thousand units,3355.728,
2004,Republic of Korea,2004,Thousand units,3133.258,
2003,Republic of Korea,2003,Thousand units,2766.721,
2002,Republic of Korea,2002,Thousand units,2652.591,
2001,Republic of Korea,2001,Thousand units,2477.448,
2000,Republic of Korea,2000,Thousand units,2626.422,
1999,Republic of Korea,1999,Thousand units,1923.845,
1998,Republic of Korea,1998,Thousand units,1437.184,
1997,Republic of Korea,1997,Thousand units,2137.219,
1996,Republic of Korea,1996,Thousand units,2125.124,
1995,Republic of Korea,1995,Thousand units,1874.969,
2013,Romania,2013,Mil. USD,4137.098184,
2013,Romania,2013,Thousand units,411.356,
2007,Romania,2007,Mil. USD,2130.120783,
2007,Romania,2007,Thousand units,231.464,
2006,Romania,2006,Mil. USD,1552.736162,
2006,Romania,2006,Thousand units,199.919,
2005,Romania,2005,Mil. USD,1202.230602,
2005,Romania,2005,Thousand units,172.663,
2004,Romania,2004,Mil. USD,626.7215288,
2004,Romania,2004,Thousand units,104.138,
2003,Romania,2003,Mil. USD,372.9302284,
2003,Romania,2003,Thousand units,74.165,
2002,Romania,2002,Mil. USD,284.9707295,
2002,Romania,2002,Thousand units,65.713,
2016,Russian Federation,2016,Thousand units,1119.764,
2015,Russian Federation,2015,Thousand units,1215.409,
2014,Russian Federation,2014,Thousand units,1695.371,
2013,Russian Federation,2013,Thousand units,1924.657,
2012,Russian Federation,2012,Thousand units,1963.702,
2011,Russian Federation,2011,Thousand units,1739.91,
2010,Russian Federation,2010,Thousand units,1209.619,
2009,Russian Federation,2009,Thousand units,600.047,
2008,Russian Federation,2008,Thousand units,1470.295,
2007,Russian Federation,2007,Thousand units,1293.878,
2006,Russian Federation,2006,Thousand units,1177.909,
2005,Russian Federation,2005,Thousand units,1068.565,
2004,Russian Federation,2004,Thousand units,1110,
2003,Russian Federation,2003,Thousand units,1012,
2002,Russian Federation,2002,Thousand units,981,
2001,Russian Federation,2001,Thousand units,1022,
2000,Russian Federation,2000,Thousand units,969,
1999,Russian Federation,1999,Thousand units,954,
1998,Russian Federation,1998,Thousand units,840,
1997,Russian Federation,1997,Thousand units,986,
1996,Russian Federation,1996,Thousand units,868,
1995,Russian Federation,1995,Thousand units,835,
2010,Serbia,2010,Thousand units,14.955,
2009,Serbia,2009,Thousand units,16.512,
2008,Serbia,2008,Thousand units,7.748,
2007,Serbia,2007,Thousand units,9.403,
2006,Serbia,2006,Thousand units,11.016,
2016,Slovakia,2016,Mil. USD,14571.20591,
2016,Slovakia,2016,Thousand units,973.474,
2015,Slovakia,2015,Mil. USD,13578.86243,
2015,Slovakia,2015,Thousand units,956.654,
2014,Slovakia,2014,Mil. USD,14466.90637,
2014,Slovakia,2014,Thousand units,907.854,
2013,Slovakia,2013,Mil. USD,14680.10384,
2013,Slovakia,2013,Thousand units,904.472,
2012,Slovakia,2012,Mil. USD,13324.02049,
2012,Slovakia,2012,Thousand units,843.344,
2011,Slovakia,2011,Mil. USD,11720.21791,
2011,Slovakia,2011,Thousand units,580.717,
2010,Slovakia,2010,Mil. USD,9080.254072,
2010,Slovakia,2010,Thousand units,515.559,
2009,Slovakia,2009,Mil. USD,7197.717294,
2009,Slovakia,2009,Thousand units,429.175,
2008,Slovakia,2008,Mil. USD,10445.70234,
2008,Slovakia,2008,Thousand units,524.18,
2007,Slovakia,2007,Mil. USD,10448.146,
2007,Slovakia,2007,Thousand units,525.29,
2006,Slovakia,2006,Mil. USD,6107.097459,
2006,Slovakia,2006,Thousand units,262.632,
2005,Slovakia,2005,Mil. USD,3830.551369,
2005,Slovakia,2005,Thousand units,176.932,
2004,Slovakia,2004,Mil. USD,4198.634401,
2004,Slovakia,2004,Thousand units,186.26,
2003,Slovakia,2003,Mil. USD,3953.860971,
2003,Slovakia,2003,Thousand units,242.03,
2002,Slovakia,2002,Mil. USD,2194.090686,
2002,Slovakia,2002,Thousand units,225.819,
2001,Slovakia,2001,Mil. USD,1663.453154,
2001,Slovakia,2001,Thousand units,181.735,
1998,Slovenia,1998,Thousand units,126.364,
2016,Spain,2016,Mil. USD,34987.57849,
2016,Spain,2016,Thousand units,2481.982,
2015,Spain,2015,Mil. USD,33537.07031,
2015,Spain,2015,Thousand units,2359.011,
2014,Spain,2014,Mil. USD,32749.09565,
2014,Spain,2014,Thousand units,2080.598,
2013,Spain,2013,Mil. USD,30005.60909,
2013,Spain,2013,Thousand units,1927.16,
2012,Spain,2012,Mil. USD,23492.41954,
2012,Spain,2012,Thousand units,1603.464,
2011,Spain,2011,Mil. USD,29431.91242,
2011,Spain,2011,Thousand units,1933.948,
2010,Spain,2010,Mil. USD,27121.56402,
2010,Spain,2010,Thousand units,2025.064,
2009,Spain,2009,Mil. USD,25891.74401,
2009,Spain,2009,Thousand units,1882.585,
2008,Spain,2008,Mil. USD,29982.06857,
2008,Spain,2008,Thousand units,2048.937,
2007,Spain,2007,Mil. USD,34671.09203,
2007,Spain,2007,Thousand units,2385.206,
2006,Spain,2006,Mil. USD,28210.82431,
2006,Spain,2006,Thousand units,2220.132,
2005,Spain,2005,Mil. USD,27107.89434,
2005,Spain,2005,Thousand units,2375.436,
2004,Spain,2004,Mil. USD,28665.26358,
2004,Spain,2004,Thousand units,2482.326,
2010,Sudan (former),2010,Thousand units,2.114,
2009,Sudan (former),2009,Thousand units,6.55,
2008,Sudan (former),2008,Thousand units,6.325,
2007,Sudan (former),2007,Thousand units,2.2,
2006,Sudan (former),2006,Thousand units,2.131,
2005,Sudan (former),2005,Thousand units,1.5,
2004,Sudan (former),2004,Thousand units,1.485,
2016,Sweden,2016,Mil. USD,7317.655452,
2016,Sweden,2016,Thousand units,195.542,
2015,Sweden,2015,Mil. USD,6361.057673,
2015,Sweden,2015,Thousand units,166.94,
2014,Sweden,2014,Mil. USD,4937.023679,
2014,Sweden,2014,Thousand units,140.8174,
2013,Sweden,2013,Mil. USD,5805.694273,
2013,Sweden,2013,Thousand units,163.9172,
2012,Sweden,2012,Mil. USD,5839.507093,
2012,Sweden,2012,Thousand units,164.8351,
2011,Sweden,2011,Mil. USD,7649.041959,
2011,Sweden,2011,Thousand units,205.8627,
2010,Sweden,2010,Mil. USD,6256.579091,
2010,Sweden,2010,Thousand units,191.0735,
2009,Sweden,2009,Mil. USD,4016.184513,
2009,Sweden,2009,Thousand units,127.2529,
2008,Sweden,2008,Mil. USD,7154.741236,
2008,Sweden,2008,Thousand units,220.2072,
2007,Sweden,2007,Mil. USD,10516.91432,
2007,Sweden,2007,Thousand units,314.7655,
2006,Sweden,2006,Mil. USD,9416.218459,
2006,Sweden,2006,Thousand units,310.22,
2005,Sweden,2005,Mil. USD,8914.252987,
2005,Sweden,2005,Thousand units,308.866,
2004,Sweden,2004,Mil. USD,9036.062605,
2004,Sweden,2004,Thousand units,317.827,
2003,Sweden,2003,Mil. USD,7553.141552,
2003,Sweden,2003,Thousand units,297.147,
2002,Sweden,2002,Mil. USD,5389.271369,
2002,Sweden,2002,Thousand units,260.058,
2001,Sweden,2001,Mil. USD,5426.30099,
2001,Sweden,2001,Thousand units,271.538,
2000,Sweden,2000,Mil. USD,5779.151814,
2000,Sweden,2000,Thousand units,278.357,
1999,Sweden,1999,Mil. USD,5268.184878,
1999,Sweden,1999,Thousand units,235.165,
1998,Sweden,1998,Mil. USD,4816.432071,
1998,Sweden,1998,Thousand units,213.944,
1997,Sweden,1997,Mil. USD,4595.741504,
1997,Sweden,1997,Thousand units,221.001,
1996,Sweden,1996,Mil. USD,4594.125098,
1996,Sweden,1996,Thousand units,207.653,
2008,Thailand,2008,Thousand units,401.474,
2007,Thailand,2007,Thousand units,315.444,
2006,Thailand,2006,Thousand units,298.819,
2005,Thailand,2005,Thousand units,277.603,
2004,Thailand,2004,Thousand units,299.039,
2003,Thailand,2003,Thousand units,251.691,
2002,Thailand,2002,Thousand units,169.304,
2001,Thailand,2001,Thousand units,155.942,
2000,Thailand,2000,Thousand units,97.129,
1999,Thailand,1999,Thousand units,72.716,
1998,Thailand,1998,Thousand units,32.008,
1997,Thailand,1997,Thousand units,112.041,
1996,Thailand,1996,Thousand units,138.579,
2016,The former Yugoslav Republic of Macedonia,2016,Mil. USD,0,3
2016,The former Yugoslav Republic of Macedonia,2016,Thousand units,0,3
2016,Turkey,2016,Mil. USD,15566.19288,
2016,Turkey,2016,Thousand units,1367.725,
2015,Turkey,2015,Mil. USD,13474.97199,
2015,Turkey,2015,Thousand units,1211.487,
2014,Turkey,2014,Mil. USD,13800.5279,
2014,Turkey,2014,Thousand units,1070.748,
2013,Turkey,2013,Mil. USD,12896.17302,
2013,Turkey,2013,Thousand units,987.446,
2012,Turkey,2012,Mil. USD,10856.45105,
2012,Turkey,2012,Thousand units,858.188,
2011,Turkey,2011,Mil. USD,12297.17036,
2011,Turkey,2011,Thousand units,935.988,
2010,Turkey,2010,Mil. USD,11160.13164,
2010,Turkey,2010,Thousand units,886.201,
2009,Turkey,2009,Mil. USD,9561.99008,
2009,Turkey,2009,Thousand units,753.276,
2008,Turkey,2008,Mil. USD,12159.22867,
2008,Turkey,2008,Thousand units,900.389,
2007,Turkey,2007,Mil. USD,11728.40397,
2007,Turkey,2007,Thousand units,856.651,
2006,Turkey,2006,Mil. USD,9489.423928,
2006,Turkey,2006,Thousand units,758.424,
2005,Turkey,2005,Mil. USD,8246.605611,
2005,Turkey,2005,Thousand units,649.273,
2014,Ukraine,2014,Thousand units,25.941,
2013,Ukraine,2013,Thousand units,45.757,
2012,Ukraine,2012,Thousand units,69.688,
2011,Ukraine,2011,Thousand units,97.507,
2010,Ukraine,2010,Thousand units,75.27,
2009,Ukraine,2009,Thousand units,65.662,
2008,Ukraine,2008,Thousand units,401.593,
2007,Ukraine,2007,Thousand units,380.141,
2006,Ukraine,2006,Thousand units,267.319,
2005,Ukraine,2005,Thousand units,192.234,
2004,Ukraine,2004,Thousand units,173.691,
2003,Ukraine,2003,Thousand units,98.319,
2002,Ukraine,2002,Thousand units,43.777,
2001,Ukraine,2001,Thousand units,26.247,
2000,Ukraine,2000,Thousand units,17.137,
1999,Ukraine,1999,Thousand units,9.723,
1998,Ukraine,1998,Thousand units,25.844,
1997,Ukraine,1997,Thousand units,1.973,
1996,Ukraine,1996,Thousand units,6.94,
1995,Ukraine,1995,Thousand units,58.721,
2014,United Kingdom,2014,Mil. USD,50122.6181,
2014,United Kingdom,2014,Thousand units,1573.47,
2013,United Kingdom,2013,Mil. USD,44401.67329,
2013,United Kingdom,2013,Thousand units,1528.842,
2012,United Kingdom,2012,Mil. USD,36188.72146,
2012,United Kingdom,2012,Thousand units,1488.1,
2011,United Kingdom,2011,Mil. USD,35431.17983,
2011,United Kingdom,2011,Thousand units,1391.436,
2009,United Kingdom,2009,Mil. USD,23255.01328,
2009,United Kingdom,2009,Thousand units,1104.289,
2008,United Kingdom,2008,Mil. USD,35783.1004,
2008,United Kingdom,2008,Thousand units,1545.885,
2007,United Kingdom,2007,Mil. USD,42316.94874,
2007,United Kingdom,2007,Thousand units,1785.847,
2006,United Kingdom,2006,Mil. USD,35009.32068,
2006,United Kingdom,2006,Thousand units,1655.512,
2005,United Kingdom,2005,Mil. USD,37121.48703,
2005,United Kingdom,2005,Thousand units,1947.184,
1999,United Kingdom,1999,Mil. USD,31320.74364,7
1999,United Kingdom,1999,Thousand units,2207.979,7
2013,Uruguay,2013,Mil. USD,145.1604753,
2013,Uruguay,2013,Thousand units,11.209,
2012,Uruguay,2012,Mil. USD,16.38112127,
2012,Uruguay,2012,Thousand units,1.936,
2010,Uruguay,2010,Mil. USD,70.57483384,
2010,Uruguay,2010,Thousand units,6.53,
2003,Uruguay,2003,Mil. USD,0.96767916,
2001,Uruguay,2001,Mil. USD,91.6585635,
2000,Uruguay,2000,Mil. USD,128.2800608,
1999,Uruguay,1999,Mil. USD,105.9901545,
1998,Uruguay,1998,Mil. USD,164.1174758,
1997,Uruguay,1997,Mil. USD,55.12065793,
2016,Uzbekistan,2016,Mil. USD,756.1933208,
2016,Uzbekistan,2016,Thousand units,85.741,
2008,Venezuela (Bolivarian Republic of),2008,Thousand units,88.1,4
2007,Venezuela (Bolivarian Republic of),2007,Thousand units,120,4
2006,Venezuela (Bolivarian Republic of),2006,Thousand units,120.4,4
2005,Venezuela (Bolivarian Republic of),2005,Thousand units,139.2,4
2004,Venezuela (Bolivarian Republic of),2004,Thousand units,24.4,4
2016,Viet Nam,2016,Mil. USD,53.98189252,
2016,Viet Nam,2016,Thousand units,254.9,
2015,Viet Nam,2015,Mil. USD,53.56406888,
2015,Viet Nam,2015,Thousand units,192.849,
2014,Viet Nam,2014,Thousand units,134.009,
2013,Viet Nam,2013,Thousand units,101.064,
2012,Viet Nam,2012,Thousand units,86.916,
2011,Viet Nam,2011,Thousand units,108.174,
2010,Viet Nam,2010,Thousand units,112.3,
2009,Viet Nam,2009,Thousand units,112.461,
2008,Viet Nam,2008,Thousand units,104.75,
2007,Viet Nam,2007,Thousand units,71.892,
2006,Viet Nam,2006,Thousand units,47.576,
2005,Viet Nam,2005,Thousand units,59.152,
2004,Viet Nam,2004,Thousand units,50.954,
2003,Viet Nam,2003,Thousand units,47.701,
2002,Viet Nam,2002,Thousand units,29.536,
2001,Viet Nam,2001,Thousand units,20.526,
2000,Viet Nam,2000,Thousand units,13.547,
1999,Viet Nam,1999,Thousand units,5.915,
1998,Viet Nam,1998,Thousand units,4.95,
1997,Viet Nam,1997,Thousand units,6.535,
1996,Viet Nam,1996,Thousand units,5.806,
1995,Viet Nam,1995,Thousand units,3.524,
,,,,,
fnSeqID,Footnote,,,,
1,Including buses.,,,,
2,Twelve months ending 30 June of year stated.,,,,
3,"Calculated by the Statistics Division of the United Nations, based on Prodcom data.",,,,
4,Source: United Nations Economic Commission for Latin America and the Caribbean (Santiago).,,,,
5,"Source: Bulletin of Industrial Statistics for the Arab Countries, United Nations Economic and Social Commission for Western Asia (Beirut).",,,,
6,Break in series; data prior to the sign not comparable to following years.,,,,
7,Excluding Prodcom 2002 code 34.10.21.33.,,,,
