,US_Total_Values,Canada_Total_Values,Austria_Total_Values,Denmark_Total_Values,France_Total_Values,Germany_Total_Values,Greece_Total_Values,Netherlands_Total_Values,Hungary_Total_Values,Italy_Total_Values,Norway_Total_Values,Poland_Total_Values,Romania_Total_Values,Spain_Total_Values,Turkey_Total_Values,U.K._Total_Values,Yugoslavia/Croatia_Total_Values,Abu Dhabi*_Total_Values,Dubai_Total_Values,Egypt_Total_Values,Iran_Total_Values,Iraq*_Total_Values,Jordan_Total_Values,Kuwait*_Total_Values,Oman_Total_Values,Pakistan_Total_Values,Qatar*_Total_Values,Saudi Arabia*_Total_Values,Sudan_Total_Values,Syria_Total_Values,Yemen_Total_Values,Algeria*_Total_Values,Angola_Total_Values,Congo_Total_Values,Gabon_Total_Values,Kenya_Total_Values,Libya*_Total_Values,Nigeria*_Total_Values,S.Africa_Total_Values,Tunisia_Total_Values,Argentina_Total_Values,Bolivia_Total_Values,Brazil_Total_Values,Chile_Total_Values,Colombia_Total_Values,CostaRica_Total_Values,Ecuador*_Total_Values,Mexico_Total_Values,Peru_Total_Values,Trinidad_Total_Values,Venezuela*_Total_Values,Australia_Total_Values,Bangladesh_Total_Values,Brunei_Total_Values,India_Total_Values,Indonesia*_Total_Values,Japan_Total_Values,Malaysia_Total_Values,Myanmar_Total_Values,New Zealand_Total_Values,Papua New Guinea_Total_Values,Phillippines_Total_Values,Taiwan_Total_Values,Thailand_Total_Values,Vietnam_Total_Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,6234,200,9,1,22,31,4,20,0,38,13,0,0,12,34,57,24,41,3,36,3,11,0,4,12,16,5,30,0,15,0,81,11,6,12,0,31,27,2,11,67,11,94,7,22,0,6,202,24,14,70,33,5,10,51,92,22,13,32,1,0,15,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,2229,201,9,2.5,18,26,3,16,0,27,10,0,0,7,26,42,21,36,6,35,12,23,2,5,10,17,3,26,0,15,0,55,12,4,7,0,24,18,2,7,73,8,85,6,18,1,5,186,16,10,43,24,2,10,56,89,20,10,37,2,2,8,5,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2429,259,7,1.5,21,19,4,19,0,26,10,0,0,9,24,59,25,30,7,37,20,19,3,6,11,17,2,15,0,23,1,27,7,3,7,0,26,12,2,5,82,6,69,6,16,1,4,196,17,9,30,34,4,9,57,82,18,9,33,2,1,3,6,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1976,311,7,1.5,22,20,1,24,0,40,13,0,0,11,25,63,27,22,4,37,20,28,2,6,13,18,4,12,0,26,2,35,10,2,7,0,30,9,3,4,81,5,76,6,21,0,2,196,11,10,33,31,5,7,62,80,16,8,33,4,2,2,7,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,970,178,6,1.5,15,19,0,16,0,33,12,0,0,7,27,43,30,15,3,33,18,21,2,6,14,17,0,6,0,27,5,41,8,2,3,0,20,10,3,3,47,4,77,6,17,0,2,163,14,11,29,14,5,5,70,62,15,8,33,5,2,1,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,937,181,4,1.5,8,12,2,10,0,26,12,0,0,2,26,44,31,9,2,23,17,10,2,6,10,14,1,5,0,22,4,40,10,3,3,1,12,11,3,4,61,6,61,7,14,1,3,143,15,9,18,16,5,4,116,37,10,8,29,3,2,2,5,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,937,196,4,1,8,9,2,14,0,24,15,0,0,2,22,57,31,8,3,21,18,23,2,6,9,13,3,5,0,22,3,32,11,2,5,1,16,14,5,3,63,5,39,5,19,0,6,155,11,7,25,18,2,4,127,44,10,9,26,2,2,4,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,870,130,2,1,7,8,1,12,0,22,12,0,0,3,20,46,32,6,3,18,20,25,3,4,13,14,3,5,0,24,2,24,8,1,6,2,17,14,3,3,55,6,27,4,15,0,5,99,10,6,27,14,5,4,135,47,5,12,23,1,3,6,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1008,138,1,1,6,9,0,15,0,21,12,0,0,1,17,49,31,8,4,15,19,23,2,2,17,11,2,9,0,17,5,35,8,2,5,2,15,18,3,4,64,6,22,6,11,0,2,91,5,8,32,14,4,5,137,52,8,13,20,1,3,6,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,862,121,2,1,4,7,0,11,5,25,16,28,0,1,19,39,14,13,2,17,21,0,2,1,14,10,3,15,0,14,5,31,6,4,5,0,15,21,2,6,60,10,21,6,9,0,7,109,3,6,45,12,0,4,135,52,5,14,22,1,2,5,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,718,96,2,1.5,3,6,0,10,2,23,15,18,1,0,15,34,1,15,3,16,40,0,2,4,12,11,4,22,0,17,8,30,4,4,2,1,15,16,2,3,49,16,26,3,12,0,4,80,6,2,50,10,0,2,124,49,7,9,18,1,2,7,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,753,185,1,1,3,7,0,7,2,14,13,18,4,0,16,25,0,16,4,13,45,0,0,9,16,9,4,21,0,15,6,29,4,2,3,0,15,10,2,4,41,11,25,4,13,0,6,36,6,2,58,11,0,1,116,47,8,9,17,2,1,9,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,774,259,0,1,2,8,0,6,2,11,14,18,4,0,16,23,0,15,2,14,22,0,0,9,16,10,4,17,0,12,4,28,5,2,2,0,13,7,1,3,71,10,23,3,15,0,6,28,4,4,70,13,0,2,85,42,6,10,11,1,1,11,3,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,724,230,1,1,1,9,0,8,2,11,13,18,4,0,15,27,0,14,3,18,21,0,0,7,17,11,4,17,0,13,3,28,7,2,3,0,11,9,1,3,92,8,21,3,16,0,3,35,5,5,85,12,0,1,72,37,9,9,10,2,2,7,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,777,271,0,1,1,8,0,11,1,14,15,18,3,0,10,31,2,14,3,19,20,0,0,5,19,11,8,16,0,14,3,28,10,3,3,0,13,15,0,2,68,7,23,2,14,0,3,45,7,4,108,14,0,1,61,43,7,6,11,1,1,6,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,944,375,0,1,1,4,0,11,1,12,17,16,2,0,10,34,1,15,1,22,22,0,0,6,23,12,14,26,0,14,3,29,8,5,4,0,13,13,1,2,57,5,22,2,16,0,4,49,10,4,110,14,0,3,60,54,5,6,7,1,2,2,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
