Natural_Gas_Consumption_World,Natural_Gas_Consumption_World,,Natural_Gas_Production_World,Natural_Gas_Production_World
,quad Btu,,,bcf
1980,53.8652232,,1980,181.0872668
1981,53.8954238,,1981,181.2109436
1982,54.0552553,,1982,179.5139555
1983,55.1497726,,1983,180.3821126
1984,60.8428969,,1984,194.5887614
1985,63.3716616,,1985,199.8412734
1986,64.2243905,,1986,200.7365557
1987,67.5619701,,1987,212.0093997
1988,71.0100486,,1988,221.6420893
1989,74.2297266,,1989,229.3572665
1990,75.12321933,,1990,175.8928714
1991,76.72989896,,1991,182.133553
1992,77.11050757,,1992,175.0866316
1993,79.11024206,,1993,177.7812373
1994,79.00091913,,1994,177.4303079
1995,81.3244205,,1995,182.0750249
1996,83.19845671,,1996,188.8373223
1997,83.69926851,,1997,186.5342618
1998,84.37331256,,1998,189.0994144
1999,86.51886489,,1999,194.5092441
2000,89.6048509,,2000,202.7965069
2001,89.93135523,,2001,206.2136443
2002,94.06020276,,2002,212.7187004
2003,96.78718428,,2003,219.1123933
2004,99.79480928,,2004,228.0637245
2005,102.6069057,,2005,237.5527084
2006,106.3121232,,2006,243.9368609
2007,109.7209404,,2007,252.6212061
2008,112.8727647,,2008,260.2924744
2009,109.1493137,,2009,251.8085541
2010,119.4238794,,2010,281.0825637
2011,122.9924866,,2011,278.1434453
2012,125.802648,,2012,280.7487672
2013,127.6546757,,2013,283.7276569
2014,128.1451252,,2014,285.3779058
2015,130.0516932,,2015,291.7641381
2016,132.6992294,,2016,348.6660359
,,,2017,363.303011
,,,2018,34.25191827
,,,2019,32.30241063