Year,"Gas consumption, terawatt hours (TWh) (terawatt-hours)"
1965,6823.934577
1966,7426.217421
1967,7961.256227
1968,8668.151001
1969,9510.132872
1970,10350.9762
1971,11048.31053
1972,11634.66841
1973,12153.54337
1974,12408.64757
1975,12377.59393
1976,13084.99176
1977,13487.86548
1978,14034.26272
1979,14902.18784
1980,15019.78524
1981,15173.09253
1982,15217.6112
1983,15422.60601
1984,16685.70859
1985,17238.25674
1986,17388.7886
1987,18287.8572
1988,19135.61251
1989,20010.26924
1990,20555.37089
1991,21111.11064
1992,21212.90741
1993,21421.02259
1994,21573.29342
1995,22325.39032
1996,23405.25293
1997,23390.79648
1998,23795.44616
1999,24393.92707
2000,25373.43815
2001,25801.53362
2002,26518.27189
2003,27262.35127
2004,28238.52485
2005,29065.6228
2006,29923.81715
2007,31146.16529
2008,31959.42611
2009,31116.35515
2010,33427.49678
2011,34033.08509
2012,35012.27319
2013,35522.2638
2014,35738.83055
2015,36596.65882
2016,37264.17119