Year,Gas Production - Mtoe (terawatt-hours)
1970,10463.00414
1971,11161.7712
1972,11686.1238
1973,12205.27862
1974,12412.3163
1975,12416.01892
1976,12926.10494
1977,13459.9657
1978,13903.62425
1979,14879.47672
1980,15071.75178
1981,15315.02937
1982,15300.43383
1983,15355.5369
1984,16681.25279
1985,17202.9057
1986,17652.64147
1987,18550.92702
1988,19382.22053
1989,20034.30433
1990,20675.8119
1991,20968.13917
1992,21148.55241
1993,21346.63734
1994,21668.90086
1995,22006.03134
1996,23090.14514
1997,23104.75084
1998,23696.89511
1999,24286.27668
2000,25262.00317
2001,25967.31291
2002,26467.42328
2003,27435.60572
2004,28338.33768
2005,29123.26006
2006,30201.24088
2007,30939.81538
2008,32060.89585
2009,31157.54829
2010,33485.52107
2011,34510.12174
2012,35177.3648
2013,35739.77778
2014,36434.42043
2015,37158.05563
2016,37366.17505